127.0.0.1 - - [14/Aug/2017:19:15:23 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:15:24 -0300] "GET /ong-cepe/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:15:24 -0300] "GET /ong-cepe/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:15:24 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:15:25 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:15:25 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:15:25 -0300] "GET /fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:15:25 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:15:25 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:09 -0300] "GET /ong-cepe/ HTTP/1.1" 200 2731
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:09 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:09 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:09 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:09 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:10 -0300] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:10 -0300] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:10 -0300] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:10 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:12 -0300] "GET /ong-cepe/privado/paginaInicial.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:12 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:12 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:12 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:19 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:19 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:21 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:17:23 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:18:37 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:24:00 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:25:35 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:25:36 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:35:03 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:38:52 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:19:40:51 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:15 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:15 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:15 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:15 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:15 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:15 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:15 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:15 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:15 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:15 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:19 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:19 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:19 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:19 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:19 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:19 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:19 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:27 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:27 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:27 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:10:55 -0300] "GET /ong-cepe/privado/formulario/pesfisica.html HTTP/1.1" 200 4167
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:13:35 -0300] "GET /ong-cepe/privado/formulario/pesjuridica.html HTTP/1.1" 200 4277
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/privado/js/itens.js HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/css/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/privado/js/chamadas.js HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/js/jquery.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/privado/header.html HTTP/1.1" 200 3886
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/privado/footer.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:02 -0300] "GET /ong-cepe/style.css.map HTTP/1.1" 200 79595
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:26 -0300] "GET /ong-cepe/privado/usuario.html HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [14/Aug/2017:20:17:26 -0300] "GET /ong-cepe/style.css HTTP/1.1" 200 154462
